Time (S),Voltage (V)
-2.12e-06,-0.6099327999999957
-2.1000000000000002e-06,-0.922431999999997
-2.08e-06,-0.922431999999997
-2.06e-06,-0.6099327999999957
-2.04e-06,-0.6099327999999957
-2.02e-06,-0.6099327999999957
-2e-06,-0.922431999999997
-1.98e-06,-0.6099327999999957
-1.96e-06,-0.922431999999997
-1.94e-06,-1.2349311999999983
-1.9200000000000003e-06,-0.922431999999997
-1.9e-06,-0.6099327999999957
-1.88e-06,-0.922431999999997
-1.86e-06,-0.922431999999997
-1.84e-06,-0.6099327999999957
-1.82e-06,-0.922431999999997
-1.8000000000000001e-06,-0.6099327999999957
-1.78e-06,-1.2349311999999983
-1.76e-06,-1.2349311999999983
-1.74e-06,-0.922431999999997
-1.72e-06,-1.2349311999999983
-1.7e-06,-0.922431999999997
-1.68e-06,-0.922431999999997
-1.66e-06,-0.922431999999997
-1.64e-06,-0.6099327999999957
-1.6200000000000002e-06,-0.6099327999999957
-1.6e-06,-1.2349311999999983
-1.5800000000000001e-06,-0.6099327999999957
-1.5599999999999999e-06,-0.6099327999999957
-1.54e-06,-0.922431999999997
-1.52e-06,-0.6099327999999957
-1.5e-06,-0.922431999999997
-1.48e-06,-0.922431999999997
-1.46e-06,-0.922431999999997
-1.44e-06,-0.922431999999997
-1.42e-06,-0.6099327999999957
-1.4000000000000001e-06,-0.922431999999997
-1.38e-06,-1.2349311999999983
-1.3600000000000001e-06,-0.922431999999997
-1.3399999999999999e-06,-0.922431999999997
-1.32e-06,-0.922431999999997
-1.3e-06,-1.2349311999999983
-1.28e-06,-0.922431999999997
-1.26e-06,-0.922431999999997
-1.24e-06,-0.6099327999999957
-1.22e-06,-0.6099327999999957
-1.2e-06,-0.6099327999999957
-1.1800000000000001e-06,-0.922431999999997
-1.16e-06,-1.2349311999999983
-1.14e-06,-0.6099327999999957
-1.12e-06,-1.2349311999999983
-1.1e-06,-0.922431999999997
-1.08e-06,-0.6099327999999957
-1.06e-06,-0.922431999999997
-1.04e-06,-0.922431999999997
-1.02e-06,-0.922431999999997
-1e-06,-0.6099327999999957
-9.8e-07,-0.6099327999999957
-9.6e-07,-0.6099327999999957
-9.400000000000001e-07,-1.2349311999999983
-9.200000000000001e-07,-0.6099327999999957
-9.000000000000001e-07,-0.6099327999999957
-8.8e-07,-0.6099327999999957
-8.6e-07,-0.29743359999999797
-8.4e-07,-0.922431999999997
-8.2e-07,-0.6099327999999957
-8e-07,-0.922431999999997
-7.799999999999999e-07,-0.6099327999999957
-7.599999999999999e-07,-0.6099327999999957
-7.399999999999999e-07,-0.6099327999999957
-7.200000000000001e-07,-1.2349311999999983
-7.000000000000001e-07,-0.6099327999999957
-6.800000000000001e-07,-0.6099327999999957
-6.6e-07,-0.6099327999999957
-6.4e-07,-0.922431999999997
-6.2e-07,-0.6099327999999957
-6e-07,-0.922431999999997
-5.8e-07,-0.6099327999999957
-5.599999999999999e-07,-0.6099327999999957
-5.399999999999999e-07,-0.922431999999997
-5.200000000000001e-07,-0.6099327999999957
-5.000000000000001e-07,-0.6099327999999957
-4.800000000000001e-07,0.015065600000003343
-4.6000000000000004e-07,-1.2349311999999983
-4.4e-07,-0.6099327999999957
-4.2e-07,0.015065600000003343
-4e-07,-1.547430399999996
-3.7999999999999996e-07,-1.8599295999999974
-3.5999999999999994e-07,0.015065600000003343
-3.399999999999999e-07,-0.922431999999997
-3.199999999999999e-07,3.7650560000000013
-3.000000000000001e-07,2.515059200000003
-2.8000000000000007e-07,5.640051200000002
-2.6000000000000005e-07,6.265049600000001
-2.4000000000000003e-07,2.827558400000001
-2.2e-07,5.015052800000003
-1.9999999999999978e-07,4.390054400000004
-1.7999999999999997e-07,5.327552000000001
-1.6000000000000016e-07,6.577548800000002
-1.3999999999999993e-07,5.952550400000003
-1.2000000000000012e-07,7.515046400000003
-9.999999999999989e-08,8.140044800000002
-8.000000000000008e-08,8.452544000000003
-5.999999999999985e-08,9.077542400000002
-4.000000000000004e-08,10.015040000000003
-1.999999999999981e-08,9.390041600000004
0.0,10.327539200000002
1.999999999999981e-08,10.952537600000001
4.000000000000004e-08,11.577536000000002
5.999999999999985e-08,12.202534400000001
8.000000000000008e-08,12.515033600000002
9.999999999999989e-08,12.827532800000002
1.2000000000000012e-07,13.7650304
1.3999999999999993e-07,14.077529600000002
1.6000000000000016e-07,15.015027200000002
1.7999999999999997e-07,14.702528000000001
2.000000000000002e-07,15.327526400000002
2.2e-07,15.640025600000001
2.399999999999998e-07,16.265024
2.6000000000000005e-07,16.5775232
2.7999999999999986e-07,16.8900224
3.000000000000001e-07,16.5775232
3.199999999999999e-07,16.8900224
3.4000000000000013e-07,17.515020800000002
3.5999999999999994e-07,17.515020800000002
3.8000000000000017e-07,17.515020800000002
4e-07,17.515020800000002
4.200000000000002e-07,17.2025216
4.4e-07,17.82752
4.5999999999999983e-07,17.2025216
4.800000000000001e-07,17.515020800000002
4.999999999999999e-07,17.515020800000002
5.200000000000001e-07,17.515020800000002
5.399999999999999e-07,17.515020800000002
5.600000000000001e-07,16.8900224
5.8e-07,16.8900224
6.000000000000002e-07,16.5775232
6.2e-07,16.5775232
6.400000000000002e-07,16.265024
6.6e-07,15.640025600000001
6.799999999999998e-07,15.640025600000001
7.000000000000001e-07,16.265024
7.199999999999999e-07,15.327526400000002
7.400000000000001e-07,15.015027200000002
7.599999999999999e-07,14.702528000000001
7.800000000000002e-07,14.702528000000001
8e-07,14.390028800000001
8.200000000000002e-07,14.077529600000002
8.4e-07,13.452531200000001
8.600000000000002e-07,13.7650304
8.8e-07,13.452531200000001
8.999999999999999e-07,13.452531200000001
9.200000000000001e-07,13.452531200000001
9.399999999999999e-07,13.140032000000001
9.600000000000001e-07,12.515033600000002
9.8e-07,13.140032000000001
1.0000000000000002e-06,12.827532800000002
1.02e-06,12.827532800000002
1.0400000000000002e-06,12.827532800000002
1.06e-06,13.140032000000001
1.0799999999999998e-06,12.827532800000002
1.1e-06,12.515033600000002
1.1199999999999999e-06,12.515033600000002
1.14e-06,12.827532800000002
1.16e-06,12.515033600000002
1.1800000000000001e-06,13.452531200000001
1.2e-06,13.140032000000001
1.2200000000000002e-06,13.452531200000001
1.24e-06,13.452531200000001
1.2600000000000002e-06,13.452531200000001
1.28e-06,14.077529600000002
1.2999999999999998e-06,14.390028800000001
1.32e-06,14.077529600000002
1.3399999999999999e-06,14.077529600000002
1.3600000000000001e-06,14.077529600000002
1.38e-06,14.390028800000001
1.4000000000000001e-06,14.702528000000001
1.42e-06,14.702528000000001
1.4400000000000002e-06,14.702528000000001
1.46e-06,15.015027200000002
1.4800000000000002e-06,15.640025600000001
1.5e-06,15.327526400000002
1.5199999999999998e-06,15.015027200000002
1.54e-06,15.327526400000002
1.5599999999999999e-06,15.327526400000002
1.5800000000000001e-06,16.265024
1.6e-06,15.640025600000001
1.6200000000000002e-06,15.327526400000002
1.64e-06,15.327526400000002
1.6600000000000002e-06,15.640025600000001
1.68e-06,15.9525248
1.6999999999999998e-06,15.015027200000002
1.7200000000000005e-06,15.640025600000001
1.7400000000000003e-06,15.327526400000002
1.76e-06,15.327526400000002
1.78e-06,15.327526400000002
1.7999999999999997e-06,15.015027200000002
1.8200000000000004e-06,15.015027200000002
1.8400000000000002e-06,14.702528000000001
1.86e-06,14.390028800000001
1.8799999999999998e-06,14.390028800000001
1.9000000000000004e-06,14.077529600000002
1.9200000000000003e-06,14.077529600000002
1.94e-06,13.7650304
1.96e-06,13.7650304
1.9799999999999997e-06,13.452531200000001
2.0000000000000003e-06,13.140032000000001
2.02e-06,13.140032000000001
2.04e-06,12.827532800000002
2.0599999999999998e-06,12.515033600000002
2.0800000000000004e-06,12.202534400000001
2.1000000000000002e-06,12.515033600000002
2.12e-06,12.202534400000001
2.14e-06,11.577536000000002
2.1599999999999996e-06,11.577536000000002
2.1800000000000003e-06,11.2650368
2.2e-06,11.2650368
2.22e-06,10.952537600000001
2.2399999999999997e-06,10.952537600000001
2.2600000000000004e-06,10.952537600000001
2.28e-06,10.952537600000001
2.3e-06,11.2650368
2.32e-06,10.640038400000002
2.3400000000000005e-06,10.015040000000003
2.3600000000000003e-06,10.640038400000002
2.38e-06,10.952537600000001
2.4e-06,10.640038400000002
2.4199999999999997e-06,10.327539200000002
2.4400000000000004e-06,10.327539200000002
2.46e-06,10.640038400000002
2.48e-06,10.640038400000002
2.4999999999999998e-06,10.640038400000002
2.5200000000000004e-06,10.952537600000001
2.5400000000000002e-06,11.2650368
2.56e-06,10.952537600000001
2.58e-06,11.2650368
2.5999999999999997e-06,11.2650368
2.6200000000000003e-06,11.890035200000002
2.64e-06,11.577536000000002
2.66e-06,11.2650368
2.6799999999999998e-06,12.515033600000002
2.7000000000000004e-06,12.202534400000001
2.7200000000000002e-06,12.202534400000001
2.74e-06,11.890035200000002
2.76e-06,12.827532800000002
2.7800000000000005e-06,13.140032000000001
2.8000000000000003e-06,12.827532800000002
2.82e-06,13.452531200000001
2.84e-06,13.452531200000001
2.8599999999999997e-06,13.452531200000001
2.8800000000000004e-06,14.077529600000002
2.9e-06,14.077529600000002
2.92e-06,13.7650304
2.94e-06,14.077529600000002
2.9600000000000005e-06,14.390028800000001
2.9800000000000003e-06,14.702528000000001
3e-06,14.390028800000001
3.02e-06,14.390028800000001
3.0399999999999997e-06,15.015027200000002
3.0600000000000003e-06,14.702528000000001
3.08e-06,15.015027200000002
3.1e-06,15.015027200000002
3.1199999999999998e-06,15.327526400000002
3.1400000000000004e-06,15.640025600000001
3.1600000000000002e-06,15.015027200000002
3.18e-06,15.327526400000002
3.2e-06,15.327526400000002
3.2199999999999997e-06,15.640025600000001
3.2400000000000003e-06,15.640025600000001
3.26e-06,15.015027200000002
3.28e-06,15.327526400000002
3.2999999999999997e-06,15.015027200000002
3.3200000000000004e-06,15.015027200000002
3.34e-06,15.640025600000001
3.36e-06,15.015027200000002
3.38e-06,15.327526400000002
3.4000000000000005e-06,14.702528000000001
3.4200000000000003e-06,14.702528000000001
3.44e-06,15.015027200000002
3.46e-06,15.015027200000002
3.4799999999999997e-06,15.015027200000002
3.5000000000000004e-06,15.015027200000002
3.52e-06,14.702528000000001
3.54e-06,15.015027200000002
3.56e-06,14.390028800000001
3.5800000000000005e-06,14.077529600000002
3.6000000000000003e-06,13.7650304
3.62e-06,14.077529600000002
3.64e-06,14.390028800000001
3.6599999999999997e-06,14.077529600000002
3.6800000000000003e-06,13.7650304
3.7e-06,13.7650304
3.72e-06,14.077529600000002
3.7399999999999998e-06,13.452531200000001
3.7600000000000004e-06,13.7650304
3.7800000000000002e-06,13.7650304
3.8e-06,13.7650304
3.82e-06,13.7650304
3.8400000000000005e-06,13.7650304
3.86e-06,13.7650304
3.88e-06,13.7650304
3.9e-06,13.7650304
3.92e-06,13.452531200000001
3.94e-06,13.7650304
3.96e-06,13.452531200000001
3.98e-06,13.452531200000001
4e-06,12.827532800000002
4.0200000000000005e-06,13.140032000000001
4.04e-06,13.7650304
4.06e-06,13.140032000000001
4.08e-06,13.452531200000001
4.1e-06,13.452531200000001
4.12e-06,13.452531200000001
4.14e-06,13.452531200000001
4.16e-06,13.140032000000001
4.18e-06,12.827532800000002
4.2000000000000004e-06,13.452531200000001
4.22e-06,12.827532800000002
4.24e-06,13.140032000000001
4.26e-06,12.827532800000002
4.28e-06,12.827532800000002
4.3e-06,12.827532800000002
4.32e-06,12.515033600000002
4.34e-06,12.827532800000002
4.36e-06,13.140032000000001
4.38e-06,13.140032000000001
4.4e-06,12.827532800000002
4.42e-06,12.827532800000002
4.44e-06,12.827532800000002
4.4600000000000005e-06,13.140032000000001
4.48e-06,13.140032000000001
4.5e-06,13.140032000000001
4.52e-06,12.827532800000002
4.54e-06,12.827532800000002
4.56e-06,13.140032000000001
4.58e-06,12.202534400000001
4.6e-06,12.515033600000002
4.62e-06,12.827532800000002
4.6400000000000005e-06,12.515033600000002
4.66e-06,12.515033600000002
4.68e-06,12.202534400000001
4.7e-06,12.515033600000002
4.72e-06,12.827532800000002
4.74e-06,12.202534400000001
4.76e-06,12.515033600000002
4.78e-06,12.202534400000001
4.8e-06,12.202534400000001
4.8200000000000004e-06,12.515033600000002
4.84e-06,12.202534400000001
4.86e-06,12.202534400000001
4.88e-06,12.515033600000002
4.9000000000000005e-06,12.202534400000001
4.92e-06,12.515033600000002
4.94e-06,12.202534400000001
4.96e-06,12.202534400000001
4.98e-06,12.515033600000002
5e-06,12.515033600000002
5.02e-06,12.515033600000002
5.04e-06,12.515033600000002
5.06e-06,12.202534400000001
5.0800000000000005e-06,13.140032000000001
5.1e-06,13.140032000000001
5.12e-06,12.515033600000002
5.14e-06,12.515033600000002
5.16e-06,13.140032000000001
5.18e-06,13.140032000000001
5.2e-06,13.140032000000001
5.22e-06,12.827532800000002
5.24e-06,13.140032000000001
5.2600000000000005e-06,13.140032000000001
5.28e-06,12.827532800000002
5.3e-06,13.140032000000001
5.32e-06,13.140032000000001
5.3400000000000005e-06,13.452531200000001
5.36e-06,13.452531200000001
5.38e-06,13.7650304
5.4e-06,13.7650304
5.42e-06,13.7650304
5.4400000000000004e-06,13.7650304
5.46e-06,13.452531200000001
5.48e-06,13.7650304
5.5e-06,14.390028800000001
5.52e-06,13.7650304
5.5399999999999995e-06,14.077529600000002
5.560000000000001e-06,14.390028800000001
5.580000000000001e-06,14.077529600000002
5.600000000000001e-06,14.390028800000001
5.62e-06,14.390028800000001
5.64e-06,14.077529600000002
5.66e-06,14.077529600000002
5.68e-06,14.077529600000002
5.7e-06,14.390028800000001
5.7199999999999994e-06,14.390028800000001
5.740000000000001e-06,14.077529600000002
5.760000000000001e-06,14.390028800000001
5.7800000000000006e-06,14.390028800000001
5.8e-06,14.702528000000001
5.82e-06,14.077529600000002
5.84e-06,15.015027200000002
5.86e-06,14.390028800000001
5.88e-06,14.702528000000001
5.899999999999999e-06,15.015027200000002
5.920000000000001e-06,14.390028800000001
5.940000000000001e-06,14.390028800000001
5.9600000000000005e-06,14.702528000000001
5.98e-06,14.077529600000002
6e-06,14.390028800000001
6.02e-06,14.390028800000001
6.04e-06,14.077529600000002
6.06e-06,14.390028800000001
6.079999999999999e-06,14.077529600000002
6.100000000000001e-06,14.390028800000001
6.120000000000001e-06,14.390028800000001
6.1400000000000005e-06,14.077529600000002
6.16e-06,14.077529600000002
6.18e-06,14.390028800000001
6.2e-06,14.077529600000002
6.22e-06,13.7650304
6.2399999999999995e-06,14.390028800000001
6.259999999999999e-06,13.7650304
6.280000000000001e-06,13.7650304
6.300000000000001e-06,13.7650304
6.3200000000000005e-06,13.7650304
6.34e-06,13.452531200000001
6.36e-06,13.452531200000001
6.38e-06,13.452531200000001
6.4e-06,13.452531200000001
6.4199999999999995e-06,13.452531200000001
6.439999999999999e-06,13.452531200000001
6.460000000000001e-06,13.452531200000001
6.480000000000001e-06,13.452531200000001
6.5000000000000004e-06,13.452531200000001
6.52e-06,12.827532800000002
6.54e-06,13.140032000000001
6.56e-06,13.452531200000001
6.58e-06,13.140032000000001
6.5999999999999995e-06,12.827532800000002
6.620000000000001e-06,12.827532800000002
6.640000000000001e-06,12.827532800000002
6.660000000000001e-06,12.827532800000002
6.68e-06,12.827532800000002
6.7e-06,13.140032000000001
6.72e-06,13.140032000000001
6.74e-06,12.827532800000002
6.76e-06,12.827532800000002
6.7799999999999995e-06,13.140032000000001
6.800000000000001e-06,13.140032000000001
6.820000000000001e-06,13.140032000000001
6.840000000000001e-06,13.140032000000001
6.86e-06,12.515033600000002
6.88e-06,12.827532800000002
6.9e-06,13.140032000000001
6.92e-06,12.515033600000002
6.94e-06,12.827532800000002
6.9599999999999994e-06,12.515033600000002
6.980000000000001e-06,12.515033600000002
7.000000000000001e-06,12.827532800000002
7.0200000000000006e-06,12.827532800000002
7.04e-06,13.140032000000001
7.06e-06,12.827532800000002
7.08e-06,12.515033600000002
7.1e-06,13.140032000000001
7.12e-06,12.515033600000002
7.139999999999999e-06,12.827532800000002
7.160000000000001e-06,12.827532800000002
7.180000000000001e-06,12.515033600000002
7.2000000000000005e-06,13.140032000000001
7.22e-06,13.140032000000001
7.24e-06,12.827532800000002
7.26e-06,12.827532800000002
7.28e-06,13.452531200000001
7.2999999999999996e-06,13.140032000000001
7.319999999999999e-06,13.140032000000001
7.340000000000001e-06,12.827532800000002
